date,pair,pool_address,tvl_usd,volume_usd,fees_usd,vol_per_tvl_pct,fees_per_tvl_pct,fees_per_vol_pct
2026-01-31,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3117648.58,7626240.17,2287.8721,244.6151,0.073385,0.03
2026-01-31,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,388081.84,249653.61,526.4864,64.3301,0.135664,0.210887
2026-02-01,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1258262.95,4141937.4,1242.5812,329.179,0.098754,0.03
2026-02-01,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,508674.22,553437.8,1675.1207,108.8001,0.329311,0.302676
2026-02-01,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1157017.87,3654958.12,1138.1641,315.8947,0.09837,0.03114
2026-02-01,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2831692.02,7272613.49,2181.784,256.8293,0.077049,0.03
2026-02-01,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,369471.93,29521.52,88.5645,7.9902,0.023971,0.3
2026-02-02,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1200204.74,5996208.55,1798.8626,499.5988,0.14988,0.03
2026-02-02,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,525612.88,565126.04,1699.7378,107.5175,0.323382,0.300771
2026-02-02,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1226666.08,5426070.91,1636.3301,442.3429,0.133397,0.030157
2026-02-02,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3009282.56,8832079.71,2649.6239,293.4945,0.088048,0.03
2026-02-02,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,373403.9,135039.75,405.1192,36.1645,0.108494,0.3
2026-02-03,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1165443.53,4691451.53,1407.4355,402.5464,0.120764,0.03
2026-02-03,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,476938.59,607685.87,1823.0576,127.4139,0.382242,0.3
2026-02-03,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1470002.08,6147500.25,1844.2501,418.1967,0.125459,0.03
2026-02-03,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2665999.71,8066848.28,2395.9082,302.5825,0.089869,0.029701
2026-02-03,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,360113.92,128422.99,385.1532,35.6618,0.106953,0.29991
2026-02-04,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1133193.24,3378157.69,1013.4473,298.1096,0.089433,0.03
2026-02-04,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,464437.04,1192962.41,1297.2577,256.862,0.279318,0.108743
2026-02-04,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1367653.4,6531951.56,1959.5855,477.6028,0.143281,0.03
2026-02-04,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2702684.91,8893210.04,2662.2909,329.0509,0.098505,0.029936
2026-02-04,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,346567.35,109399.8,311.3122,31.5667,0.089827,0.284564
2026-02-05,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1032359.75,6874318.5,2090.9649,665.884,0.202542,0.030417
2026-02-05,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,601387.53,2839011.19,1437.6098,472.0768,0.239049,0.050638
2026-02-05,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1170539.67,6623609.55,2002.6841,565.8595,0.171091,0.030236
2026-02-05,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2404914.02,16424737.39,4614.666,682.9657,0.191885,0.028096
