hydrex_epoch,aero_epoch,epoch_start,epoch_end,pair,pool_address,tvl_start_usd,tvl_end_usd,tvl_avg_usd,volume_usd,fees_usd,ohydx_distributed,hydx_price_at_report,incentives_usd,fees_tvl_pct,volume_tvl_pct,fees_volume_pct,tvl_per_incentive_usd,fees_per_incentive_usd
37,144,2026-05-28,2026-06-04,UP/WETH,0x1110d6aa4fd324f2836d618609105bb8935bbf4a,462.16,92.35,277.25,6.15,0.06,0.0,0.04557,0.0,0.0216,2.2182,0.9756,0,0
37,144,2026-05-28,2026-06-04,BASEAI/USDC,0xb38ebed77331641ffd84312f1f8bf0a4ae8bc2cc,177.92,93.1,135.51,2.64,0.05,0.0,0.03368,0.0,0.036897645930189654,1.9481957051140137,1.893939393939394,0,0
38,145,2026-06-04,2026-06-11,USDC/VVV,0x02107bab40bba06ae979a15f67b5ad3853c5e116,28019.74,19850.15,23934.94,281158.1,1116.37,37868.977,0.03374,894.39,4.6642,1174.6762,0.3971,26.76,1.2482
38,145,2026-06-04,2026-06-11,USDC/ZEN,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,167.15,1302.94,735.05,2130.54,7.43,3169.0283,0.03374,74.85,1.0108,289.8516,0.3487,9.82,0.0993
38,145,2026-06-04,2026-06-11,WETH/CHECK,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,1046.39,1053.28,1049.84,1393.71,5.59,364.6192,0.03374,8.61,0.5325,132.7551,0.4011,121.91,0.6491
38,145,2026-06-04,2026-06-11,WETH/NOCK,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,2508.22,2429.57,2468.89,105646.54,591.3,15377.7909,0.03374,363.19,23.95,4279.1022,0.5597,6.8,1.6281
38,145,2026-06-04,2026-06-11,LFI/USDC,0x53ab4c60ff04b782f630a8685af95404f099aafd,5636.31,4046.14,4841.23,28109.02,357.62,19467.4772,0.03374,459.78,7.387,580.6179,1.2723,10.53,0.7778
38,145,2026-06-04,2026-06-11,AORA/USDC,0x7b5b9ac36bef2e808a02568704f651c607634c4b,1280.31,727.08,1003.69,381.06,5.12,6522.8181,0.03374,154.06,0.5101,37.9657,1.3436,6.52,0.0332
38,145,2026-06-04,2026-06-11,DRB/WETH,0xa9a12101beddf0950c65c32a915ae21db002623d,1457.75,1055.99,1256.87,2678.08,31.42,6023.2418,0.03374,142.26,2.4999,213.0753,1.1732,8.84,0.2209
38,145,2026-06-04,2026-06-11,DIEM/USDC,0xe6D1dABdDDb884c20C0eFF3c50FBa364e6C14399,2206.33,976.0,1591.16,9458.58,35.39,5884.635,0.03374,138.98,2.2242,594.4437,0.3742,11.45,0.2546
38,145,2026-06-04,2026-06-11,HOME/USDC,0x3343646E7d40099F1456405859F6c28A40423BbD,1074.81,1455.48,1265.14,26715.97,185.76,8188.3732,0.03374,193.39,14.6829,2111.6923,0.6953,6.54,0.9605
38,145,2026-06-04,2026-06-11,AUKI/USDC,0x3c709ea8105174964a45ca913dc948f2b7477b66,95.47,2586.26,1340.87,6107.86,30.53,3822.7,0.03374,90.28,2.2769,455.5164,0.4998,14.85,0.3382
